Species,Location,Latitude,Longitude,Observation Date,Count
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Bald Eagle,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
American Crow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
European Starling,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,30
House Sparrow,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Horned Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,4
Red-necked Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,7
Western Grebe,Alki Beach,47.5841938,-122.4005256,2024-11-21 00:00:00,125
Pacific Loon,Alki Beach,47.5841938,-122.4005256,2024-11-13 09:52:00,2
Bufflehead,Alki Beach,47.5841938,-122.4005256,2024-11-11 11:59:00,4
Surf Scoter,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Rock Pigeon,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,40
Black Turnstone,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,25
Bonaparte's Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
Glaucous-winged Gull,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,1
Western x Glaucous-winged Gull (hybrid),Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,10
Double-crested Cormorant,Alki Beach,47.5841938,-122.4005256,2024-11-10 09:10:00,2
